comment,title,topic,true_label,pred_label,prob_toxic
Trẻ đẹp tài năng nhưng khối óc đã làm việc sai quy trình nhân loại.,Cựu Miss Teen Thailand lĩnh 33 năm tù vì buôn ma túy,GiaiTri,0,1,0.613804308081689
"Bài hát vô cùng ý nghĩa , sâu sắc ! Quá ngưỡng mộ tài năng của Cô ! Dù đã ở tuổi 76 nhưng bà vẫn còn hoạt động nghệ thuật một cách hết sức miệt mài... ️️️",Bạch Tuyết hát vọng cổ 'Hoa nở không màu',GiaiTri,0,1,0.6638873799410666
"Lúc trước thích Angelina Jolie lắm, nhưng từ sau những lùm xùm về vụ ly hôn thì không thích cô ấy nữa... Hết duyên rồi nên chia tay trong êm thắm, sao cứ muốn gây khó khăn cho Brad Pitt.?! Chỉ khổ & tội cho mấy đứa nhỏ thôi. :|",Angelina Jolie không được đổi thẩm phán vụ ly dị,GiaiTri,1,0,0.4835022650613052
"Vui nhất là khi đọc tới đoạn bố mẹ, ông bà nội ngoại tới đón về. Vậy là con ko bị bơ vơ giữa dòng đời này...",Bé bị bỏ rơi ở khe tường xuất viện,SucKhoe,0,1,0.5314647324258837
Nhìn mấy mẫu đẹp đến kinh dị.,Đồng phục học sinh 'nổi loạn' ở Thái Lan,TheGioi,0,1,0.5795074406650268
Một cái chết xứng đáng .,Án mạng từ cơn ghen của người đàn ông,PhapLuat,1,0,0.26343047636979466
"Kỳ lạ. Mẹ nuôi 39 tuổi, con nuôi 16 tuổi, dương tính ma túy, chưa có bằng lái, lái xe gây tai nạn đặc biệt nghiêm trọng, 30 tháng tù ?",Thanh niên 16 tuổi lái ôtô tông chết hai người,PhapLuat,0,1,0.5475779141936783
"Ủa rồi người đã nhẫn tâm vứt bỏ con mình có bị xử lý gì không?Này bé phước lớn còn được cứu, đẻ ra rồi bỏ mà cũng đưa lại cho nuôi được cũng chịu",Bé bị bỏ rơi ở khe tường xuất viện,SucKhoe,0,1,0.711620928380446
"sao ko lấy lao mà đâm nó , để nó tấn công vậy lỡ chìm tàu thì sao ?rớt xuống nước là nó xé thịt ra ăn",Bầy cá voi sát thủ tấn công du thuyền dài 11 m,KhoaHoc,1,0,0.38466560045072556
"Mấy cháu thanh thiếu niên tha hương lập nghiệp, không lo làm ăn, tụ 5 tụ 7 bày đặt ăn nhậu , kết quả này chỉ là sớm hay muộn thôi ! ",Bị chém chết sau một km tháo chạy,PhapLuat,0,1,0.6296365555674448
"Bộ sách lớp một có tới 14 quyển. Tội mấy cháu quá, học suốt ngày. Lưng còng, mắt cận, hết cả tuổi thơ...","Chủ biên sách giáo khoa khuyên giáo viên, phụ huynh 'không áp lực'",GiaoDuc,0,1,0.627060096256099
"Ngay cả các chuyên gia y tế trong ban đặc trách phòng chống dịch của WH cũng nói mọi người nên tự cách ly hai tuần khi biết mình có tiếp xúc với người dương tính, dù mình vẫn đang xét nghiệm âm tính và không có triệu chứng. Nhà Trắng biết trợ lý Hope Hicks dương tính vào sáng thứ Năm, nhưng Trump vẫn bay đến New Jersey để dự một buổi gây quĩ ngay sau đó, và phía Biden hoàn toàn không được cho biết dù ông Biden có nguy cơ vì đứng tranh luận với Trump hôm thứ Ba. Mọi tin tức bắt đầu khi kênh Bloomberg loan báo, nếu không thì đến bây giờ chắc người dân Mỹ cũng không biết gì.",Biden chúc Trump sớm khỏe,TheGioi,1,0,0.4088563873776012
"Trương Quốc Vinh thật sự là một nghệ sĩ đặc biệt. Chú ấy ra đi cũng 17 năm rồi, 17 năm đủ để thay đổi biết bao con người, đủ để thời đại biến thiên, đủ để nhiều điều bị quên...ấy vậy mà mọi người lại nhớ chú ấy. Thỉnh thoảng coi các chương trình âm nhạc, tui vẫn thấy họ hát những ca khúc của chú ấy, cảnh tượng vẫn trăm lần như một, từ người ca đến người nghe đôi mắt đều ướt, họ cứ lẳng lặng nghe, cứ lẳng lặng lau nước mắt, từ người có tuổi đến tuổi trẻ thanh niên đều như vậy, khó hiểu mà lại dễ hiểu. Sinh nhật vui vẻ.",Bạn đời đồng giới chúc sinh nhật Trương Quốc Vinh,GiaiTri,0,1,0.603369211186498
Nếu sau này ai lấy được người mẹ đã sinh ra em bé này thì thật là kinh khủng. sao họ lại có thể nhẫn tâm tới như thế chứ?,Bé sơ sinh bỏ rơi ven đường được cứu như thế nào?,SucKhoe,0,1,0.8096901017151453
"Trong tiết học đã có thầy cô, có giáo án xét đi duyệt lại biết bao lần, kiến thức như vậy là đủ cho học sinh rồi, nhiều môn còn quá nặng là khác. Học sinh muốn tra cứu trên mạng thì về nhà mà làm, còn trong lớp thì tập trung vào mà học. Chẳng lẽ thày cô và giáo án không đủ cho kiến thức 1, 2 tiết học mà học sinh phải dùng mạng thay vào?",Chỉ nên cho học sinh THPT dùng điện thoại trong giờ học,GiaoDuc,0,1,0.7649925747798034
"Không cần nói nhiều!, việc Messi đã đoạt 6 QBV, 6 giày vàng, lương cao nhất,..., mọi thứ đều bỏ xa 7 tạ đã khiến 7 tạ và fan của gã cay lắm, nay Messi ở lại và được Barca đối đãi như ông hoàng thì họ lại còn ghen tức và cay đắng dài dài, hi hi!.",20 năm Lionel Messi gắn bó với Barca,TheThao,1,0,0.43658633622171716
Vẫn không hiểu lỗi đè vạch liền màu vàng ở ngoài đô thị thì gọi là lỗi gì?,Cách phân biệt lỗi sai làn và không tuân thủ vạch kẻ đường,OtoXemay,0,1,0.5388417587203639
"25km thật ko tưởng, thật khủng khiếp.",Ảnh chụp 3.200 megapixel đầu tiên trên thế giới,KhoaHoc,0,1,0.5761734949007401
Khi nhận vé đặc cách tuyên bố hùng hồn lắm mà sao lại out sớm thế Murray?,Anh quốc thảm bại ở ngày đầu Roland Garros,TheThao,1,0,0.45496500620023406
"Đi xe như thế này thì nên bỏ tù. Lấn làn bất chấp, thấy đèn đỏ còn cố đạp ga, rồi gây tai nạn.",Ba người thoát chết dưới bánh xe bồn,OtoXemay,0,1,0.705198031659696
"Chỉ Án sơ thẩm thôi, còn phúc thẩm nữa mà",Án mạng từ cơn ghen của người đàn ông,PhapLuat,0,1,0.5469519564575759
Trời ơi... Ngày đầu tiên đi học cũng là ngày đầu tiên các con đi mãi không về. Cầu mong các con được siêu thoát về với tổ tiên. Đề nghị tất cả các trường học trên cả nước hãy kiểm tra kỹ lưỡng cơ sở vật chất để các em học tập được an toàn.,"Cổng trường sập, đè chết ba học sinh",GiaoDuc,1,0,0.11570301329774504
Thật biết lợi dụng người tiêu dùng. Hy vọng là khách hàng không mù quáng mua cho họ,Bottega Veneta bán túi giấy nghìn USD,GiaiTri,1,0,0.3378128166177486
"đọc xong sống lạnh sống lưng, cha mẹ nào mà ác quá, tội nghiệp con, chúc con khỏe mạnh",Bé sơ sinh bỏ rơi ven đường được cứu như thế nào?,SucKhoe,0,1,0.7329520297742289
Ủng hộ ngài Trump. Còn ông binden nay nói gì là việc của ông.,Biden gọi màn tranh luận của Trump là 'nỗi hổ thẹn quốc gia',TheGioi,1,0,0.3230825242608374
"tạo hình Darkseid xấu quá, nhìn gầy gò thế nào ấy, giống quân sai vặt hơn là boss. Tuy hung dữ nhưng thiếu khí chất bá vương như Thanos. Trong phim hoạt hình và truyện tranh Darkseid nhìn ngầu hơn nhiều.",Bản đặc biệt 'Justice League' tung trailer đầu tiên,GiaiTri,1,0,0.4634003334886926
"Bà tạo dáng đúng cho tháng 10 luôn ấy, mùa của lễ hội Halloween.",Bà lão 67 tuổi tay không hạ gục gã hàng xóm,PhapLuat,1,0,0.2816799739732957
"Dòng phim khoa học viễn tưởng thường nhìn rất chi là ảo diệu và phi lý, nhưng dưới bàn tay của Nolan thì nó lại mang đến cảm giác thật và logic đến kinh ngạc.",Christopher Nolan - 'phù thủy' thời gian,GiaiTri,0,1,0.560242255523652
"Tôi tin rằng những người có tri thức, trung lập và hiểu biết lý lẽ đều sẽ bầu cho Biden nếu TT Trump vẫn không thay đổi chiến thuật cãi lộn trẻ con và bắt đầu tranh luận như những người đàn ông thực sự.",Bà Obama đồng cảm với những người 'chán ngán' Trump,TheGioi,0,1,0.5191121005981313
"Thực sự lo lắng về bữa ăn của các cháu ở các trường học. Hy vọng các bếp ăn đặt lương tâm, đạo đức nghề nghiệp vào bữa ăn của các cháu.","32 học sinh nhập viện, nghi ngộ độc thực phẩm",ThoiSu,0,1,0.5604681652726266
Chó và rắn đều không phải là thức ăn! Nhắn nhủ đến 1 số người cái gì cũng muốn bỏ vào miệng!,Chó đỡ nhát cắn của rắn đuôi chuông thay chủ,KhoaHoc,1,0,0.4487598212644089
"Bám tới tận 20 năm cơ nhỉ,Nếu không phải Si ăn ké thời kỳ hoàng kim của tuyển Tây Ban Nha với nòng cốt là các cầu thủ Bà Xã thì làm gì có được 6 bóng vàng.Cule đem số lượng quả bóng vàng ra so sánh nhiều bóng vàng hơn là xuất sắc hơn nhưng tôi chưa thấy ai đánh giá Modric xuất sắc hay giỏi hơn những Xavi, Inesta, Ibrahimovic..Nếu đánh giá việc lương cao hơn để nói ai đó xuất sắc hơn thì tôi cũng thua cule rồi, mấy cầu thủ như Hulk, Paulinho...đá bên Tàu lương cao hơn nhiều cầu thủ ở các giải Châu Âu.Cule bảo Si trung thành và yêu Bà Xã nhưng Si chỉ ở lại để bám đúng hơn, tại sao khi Bà Xã trong thời kỳ đỉnh cao với nhiều cầu thủ xuất sắc xung quanh thì Si không rời đi mà phải đợi đến khi câu lạc bộ trắng tay và thua thảm 2_8 anh ta lại nằng nặc đòi bỏ đi.Nói gì ở Bà Xã, trên tuyển cũng thế, cứ hễ thua là bỏ tuyển.",20 năm Lionel Messi gắn bó với Barca,TheThao,1,0,0.3499421686486929
"Chữ cái phổ biến và sử dụng thực tiễn khi viết, đánh máy là kiểu viết bình thường, kiểu la tinh. Sách in 1 kiểu trong khi dạy viết thì phải uốn lượng, hoa văn... Tôi nghĩ không cần thiết và gây lãng phí thời gian, công sức. Cứ dạy cách viết đơn giản mà ai cũng đọc, hiểu và viết được.",Chương trình mới không ép học tiếng Việt nhanh',GiaoDuc,0,1,0.5398546919880773
"Đình chỉ học đối với những đứa chăm học nó mới sợ, chứ đứa lười nó càng thích.",Ba nữ sinh bị đình chỉ học vì đánh nhau,GiaoDuc,0,1,0.5578883077090122
Còn gì hơn nữa. Chỉ cần thế là quá đủ,Bên trong 'thành lũy' một lòng một dạ với Trump,TheGioi,0,1,0.5154539933688251
"Con trẻ nó biết gì, giành đồ chơi đánh lộn là bt, con tôi hồi xưa đi học cũng vậy, cô giáo phạt và bắt xin lỗi bạn , quan trọng là người lớn chúng ta cần giáo dục kịp thời. Việc anh phụ huynh này làm la không chấp nhận được.",Ba cô giáo bị dừng công tác vì không bảo vệ trẻ,GiaoDuc,0,1,0.805423093955863
"Có một điều hết sức quan trọng mà các nhà quản lý giáo dục có lẽ đã bỏ quên, đó là trong một tiết học, ngoài việc truyền đạt kiến thức sách vở, người giáo viên còn cần phải có thời gian để uốn nắn hành vi đối với các em học sinh. Với lượng kiến thức nặng nề và áp lực thành tích như hiện nay thì hiện tượng học sinh hư hỏng nhiều và bạo lực học đường là điều hiển nhiên sẽ xảy ra không dưới hình thức này thì cũng dưới hình thức khác",Chương trình mới không ép học tiếng Việt nhanh',GiaoDuc,1,0,0.4169249067655638
"Cháu tôi đi học được 3 tuần, đọc viết chậm hơn các bạn, một tuần 7 ngày học 6 ngày, suốt ngày ngồi bàn học. Theo tôi trẻ em cần phải được chơi nhiều hơn, học đến đâu thì học, đừng nên ép các cháu quá!",Chương trình mới không ép học tiếng Việt nhanh',GiaoDuc,0,1,0.5129924799093059
Cảm giác như gặp công chúa Annabelle phiên bản mắt bé.,Á hậu Miss Grand Thailand diễn bikini kiểu 'lốc xoáy',GiaiTri,1,0,0.23083843836628332
"Mọi người đều khen họa sĩ vẽ đẹp nhưng thật sự, mình không thấy hài lòng chút nào ở các tranh vẽ hai ca sĩ Ngọc Lan và Khánh Ly. Những nghệ sĩ khác mình không quan tâm nhiều nên không có ý kiến. Riêng mình thần tượng hai ca sĩ Ngọc Lan và Khánh Ly nên đã xem và lưu giữ ảnh của hai ca sĩ rất nhiều. Thế nhưng nhìn vào các bức vẽ Ngọc Lan và Khánh Ly, mình không nhận ra được, chỉ hao hao giống khoảng 40% mà thôi, đồng thời cũng chưa khắc họa được thần thái riêng của hai ca sĩ.",Chân dung văn nghệ sĩ một thời,GiaiTri,1,0,0.42652713687435173
"Còn người là được. Tiền mất bao nhiêu không quan trọng, bắt người đền là được.",Khoảnh khắc F-35B Mỹ lao xuống đất nổ tung,TheGioi,0,1,0.5389600943493991
"Dao Fati lại ăn mừng theo phong cách CR7, chắc là chán không muốn đá nữa rồi",Barca thắng đậm dù Messi tịt ngòi,TheThao,0,1,0.6446669595965656
Làm thức ăn chăn nuôi,26 tấn cá chết do mưa lớn,ThoiSu,0,1,0.5252126728969577
Nói chung là con người điều mong muốn hơn cái hiện tại.,Đồng phục học sinh 'nổi loạn' ở Thái Lan,TheGioi,0,1,0.5275084336237386
"Dụng cụ của bạn hơi ""gồ ghề"", khó nhọc cho phụ nữ. Nếu bạn yêu thích và chú tâm về phong cảnh ... bạn nên học hỏi và giới hạn trang bị trong phạm vi này. Nếu chưa phải ""pro"", bán hình phong cảnh để sống, 'ENJOY"" LÀ CHÍNH, thì bạn nên tìm những hiệu máy gọnnhẹ hơn. Kỹ thuật, đâm mê, góc nhìn và tâm hồn quan trọng hơn dụng cụ.",Chiều Xuân mê chụp ảnh bình minh,GiaiTri,1,0,0.30420467455627903
"Cuộc sống của thần tiên thì cũng chỉ đến như thế này, thần tiên tỷ tỷ ah.",Cơ ngơi tuổi 38 của Lý Nhã Kỳ,GiaiTri,0,1,0.5071493492869095
"Học ở trường cả ngày, tối về học đến 23h, chương trình rất phù hợp với các cháu",Đánh giá chương trình lớp 1 nặng là chưa xác đáng',GiaoDuc,0,1,0.5680806852325496
Nút quan trọng nhất là nút An Phú thì không làm!,7 nút giao thông quan trọng ở cửa ngõ TP HCM,ThoiSu,1,0,0.22245924579928347
Tập thể dục rất tốt nhưng cũng phải tuân thủ luật giao thông chứ,Cả trăm người đạp xe thể dục bịt kín đường,OtoXemay,0,1,0.5981655396529403
"Hehe, thuật phân li tán của ông này đúng là cao thủ.",Tin bầu cử Mỹ: Biden nói làm việc ở Thượng viện '180 năm trước',TheGioi,0,1,0.516082501997633
vụ án quá nghiêm trọng mà có 30 tháng tù là sao hả trời?,Thanh niên 16 tuổi lái ôtô tông chết hai người,PhapLuat,0,1,0.7905988723315567
